date;range_high;range_low;range_high_body;range_low_body;range_open;range_close;greenbox;range_size;session_high;session_low;session_body_high;session_body_low;session_close;breached_range_high;breached_range_low;closed_above_range_high;closed_below_range_low;range_confirmed;range_holds_close;range_holds_wick;up_confirmation;down_confirmation;breakout_time;breakout_window;upday;range_holds;close_outside_range;pre_conf_min;pre_conf_max;after_conf_min;after_conf_max;max_retracement_value;max_expansion_value;max_retracement_time;max_expansion_time;retrace_into_range;expansion_window;retracement_window;day_open;ny_true_open;took_out_day_open;took_out_ny_true_open;expansion_level;retracement_level;after_conf_max_level;after_conf_min_level;opening_level;closing_level;session_close_level;session_low_level;session_high_level;model;model_prev;upday_prev;range_holds_prev;range_size_prev;range_multiplier
2009-09-28;9730;9634;9723;9638;9638;9723;true;96;9764;9705;9763;9706;9725;true;false;true;false;true;true;true;1254148200000000;;1254148200000000;10:30 - 11:00;true;true;false;;;9705;9764;9725;9764;1254149400000000;1254159600000000;true;13:30 - 14:00;10:30 - 11:00;9604;9582;false;false;1.3;1.0;1.4;0.8;0.1;1.0;1.0;0.8;1.4;Strong Uptrend;Expansion;true;true;48;2.0
2009-09-29;9775;9696;9768;9709;9736;9721;false;79;9739;9678;9731;9679;9679;false;true;false;true;true;true;true;;1254236400000000;1254236400000000;11:00 - 11:30;false;true;true;9692;9739;9678;9730;9711;9678;1254238200000000;1254239100000000;true;11:30 - 12:00;11:30 - 12:00;9740;9731;true;false;-0.2;0.1;-0.3;0.4;0.5;0.3;-0.3;-0.3;0.5;Expansion;Medium Downtrend;false;true;27;2.9
2009-09-30;9711;9544;9702;9552;9702;9566;false;167;9720;9554;9705;9565;9645;true;false;false;false;false;false;true;;;;;false;true;false;;;;;;;;;false;;;9680;;false;;;;;;0.9;0.1;0.6;0.0;1.0;Expansion;Medium Uptrend;true;true;12;13.9
2009-10-01;9636;9514;9633;9521;9633;9535;false;122;9556;9438;9553;9443;9443;false;true;false;true;true;true;true;;1254409500000000;1254409500000000;11:00 - 11:30;false;true;true;9515;9556;9438;9526;9526;9438;1254414000000000;1254426900000000;true;15:30 - 16:00;12:00 - 12:30;9668;9647;false;false;-0.6;0.0;-0.7;0.0;0.9;0.1;-0.6;-0.7;0.3;Strong Downtrend;Expansion;false;true;35;3.5
2009-10-02;9432;9360;9428;9361;9361;9428;true;72;9466;9407;9461;9414;9425;true;false;true;false;true;true;true;1254493800000000;;1254493800000000;10:30 - 11:00;true;true;false;;;9407;9466;9407;9466;1254498000000000;1254503400000000;true;13:00 - 13:30;11:30 - 12:00;9450;9445;false;false;1.4;0.7;1.5;0.7;0.1;1.0;1.0;0.7;1.5;Medium Downtrend;Expansion;false;true;36;2.0
2009-10-05;9488;9419;9473;9435;9449;9462;true;69;9568;9456;9559;9458;9541;true;false;true;false;true;true;true;1254754500000000;;1254754500000000;10:30 - 11:00;true;true;true;9456;9485;9474;9568;9474;9568;1254756900000000;1254768900000000;true;14:30 - 15:00;11:30 - 12:00;9445;9462;true;false;2.1;0.8;2.2;0.8;0.5;0.7;1.8;0.6;2.2;Expansion;Weak Uptrend;true;true;35;2.0
2009-10-06;9667;9594;9665;9596;9596;9646;true;73;9717;9605;9707;9614;9668;true;false;true;false;true;true;true;1254840000000000;;1254840000000000;10:30 - 11:00;true;true;true;9644;9662;9605;9717;9669;9717;1254840600000000;1254841800000000;false;11:00 - 11:30;10:30 - 11:00;9546;9542;false;false;1.6;1.1;1.7;0.2;0.1;0.8;1.1;0.2;1.7;Strong Uptrend;Expansion;true;true;28;2.6
2009-10-07;9679;9629;9671;9632;9656;9663;true;50;9687;9621;9678;9623;9669;true;true;false;true;true;true;false;;1254930900000000;1254930900000000;11:30 - 12:00;false;true;false;9633;9687;9621;9673;9658;9621;1254934800000000;1254939000000000;true;14:00 - 14:30;13:00 - 13:30;9665;9671;true;true;-0.1;0.5;-0.2;0.8;0.5;0.6;0.8;-0.2;1.1;Medium Downtrend;Weak Uptrend;false;true;41;1.2
2009-10-08;9752;9692;9747;9706;9731;9727;false;60;9783;9720;9780;9721;9728;true;false;true;false;true;true;true;1255015200000000;;1255015200000000;11:00 - 11:30;true;true;false;9721;9751;9720;9783;9754;9783;1255017900000000;1255019400000000;false;12:30 - 13:00;12:00 - 12:30;9720;9747;true;true;1.5;1.1;1.6;0.5;0.7;0.6;0.6;0.5;1.6;Medium Downtrend;Strong Uptrend;true;false;15;4.0
2009-10-09;9769;9708;9759;9722;9730;9758;true;61;9809;9748;9807;9754;9807;true;false;true;false;true;true;true;1255101600000000;;1255101600000000;11:00 - 11:30;true;true;true;9748;9772;9752;9809;9752;9809;1255104300000000;1255118100000000;true;15:30 - 16:00;12:00 - 12:30;9752;9749;false;false;1.6;0.8;1.7;0.8;0.4;0.9;1.7;0.7;1.7;Weak Downtrend;Expansion;false;true;54;1.1
