date;dr_high;dr_low;dr_open;dr_close;greenbox;dr_range;session_high;session_low;session_close;session_high_time;session_low_time;breached_dr_high;breached_dr_low;closed_above_dr_high;closed_below_dr_high;dr_confirmed;dr_true_close;dr_true_wick;up_confirmation;down_confirmation;breakout_time;breakout_window;dr_upday;dr_true;close_outside_dr;pre_conf_max;pre_conf_min;after_conf_max;after_conf_min;max_expansion_time;max_retracement_time;max_expansion_value;max_retracement_value;retrace_into_dr;expansion_window;retracement_window;opening_level;closing_level;session_high_level;session_low_level;session_close_level;pre_conf_min_level;pre_conf_max_level;after_conf_min_level;after_conf_max_level;expansion_level;retracement_level
2009-09-28;993.5;990.0;990.7;993.2;True;3.5;996.3;988.6;988.9;12:05:00;12:05:00;True;True;True;True;True;False;False;2009-09-28 10:30:00-04:00;2009-09-28 15:45:00-04:00;10:30:00;10:30 - 11:00;True;False;False;993.2;993.2;996.3;988.6;12:05:00;10:55:00;996.3;992.8;True;12:00 - 12:30;10:30 - 11:00;0.2;0.9;1.7;-0.3;-0.4;1.0;0.9;-0.3;1.7;1.7;0.8
2009-09-29;992.5;987.8;990.2;990.4;True;4.7;997.2;989.8;993.8;13:05:00;13:10:00;True;False;True;False;True;True;True;2009-09-29 11:30:00-04:00;;11:30:00;11:30 - 12:00;True;True;True;994.0;989.8;997.2;990.5;13:05:00;11:55:00;997.2;990.5;True;13:00 - 13:30;11:30 - 12:00;0.5;0.5;2.0;0.5;1.2;0.5;1.3;0.6;2.0;2.0;0.6
2009-09-30;1003.5;995.0;1003.0;997.7;False;8.5;1010.8;996.8;1008.5;12:50:00;13:30:00;True;False;True;False;True;True;True;2009-09-30 11:45:00-04:00;;11:45:00;11:30 - 12:00;True;True;True;1003.9;996.8;1010.8;1003.3;12:50:00;12:05:00;1010.8;1003.3;True;12:30 - 13:00;12:00 - 12:30;0.9;0.3;1.8;0.3;1.5;0.3;1.0;1.0;1.8;1.8;1.0
2009-10-01;1006.2;1001.6;1004.9;1001.6;False;4.6;1011.0;998.5;999.2;13:25:00;11:00:00;True;True;False;True;True;True;False;;2009-10-01 11:05:00-04:00;11:05:00;11:00 - 11:30;False;True;True;1004.2;1002.4;1011.0;998.5;11:55:00;11:15:00;998.5;1000.8;False;11:30 - 12:00;11:00 - 11:30;0.7;0.0;2.0;-0.6;-0.6;0.2;0.5;-0.6;2.0;-0.6;-0.2
2009-10-02;1007.9;997.1;998.2;1007.0;True;10.8;1008.8;1001.0;1003.3;10:35:00;10:30:00;True;False;True;False;True;True;True;2009-10-02 10:30:00-04:00;;10:30:00;10:30 - 11:00;True;True;False;1007.0;1007.0;1008.8;1001.0;10:35:00;10:35:00;1008.8;1006.3;True;10:30 - 11:00;10:30 - 11:00;0.1;0.9;1.0;0.4;0.5;1.0;0.9;0.4;1.0;1.0;0.9
2009-10-05;1007.7;1003.7;1004.9;1006.4;True;4.0;1018.8;1003.5;1018.2;13:30:00;13:55:00;True;True;True;False;True;True;False;2009-10-05 11:55:00-04:00;;11:55:00;11:30 - 12:00;True;True;True;1008.0;1003.5;1018.8;1008.4;13:30:00;12:00:00;1018.8;1008.4;False;13:30 - 14:00;12:00 - 12:30;0.2;0.6;3.7;0.0;3.6;0.0;1.0;1.2;3.7;3.7;1.2
2009-10-06;1042.2;1032.4;1034.0;1038.3;True;9.8;1044.8;1036.2;1043.5;10:55:00;11:05:00;True;False;True;False;True;True;True;2009-10-06 10:45:00-04:00;;10:45:00;10:30 - 11:00;True;True;True;1042.0;1037.8;1044.8;1036.2;10:55:00;10:50:00;1044.8;1041.6;True;10:30 - 11:00;10:30 - 11:00;0.1;0.6;1.2;0.4;1.1;0.6;0.9;0.4;1.2;1.2;1.0
2009-10-07;1045.5;1039.1;1043.6;1041.9;False;6.4;1046.0;1038.3;1044.5;11:00:00;11:25:00;True;True;True;True;True;False;False;2009-10-07 11:20:00-04:00;2009-10-07 10:45:00-04:00;10:45:00;10:30 - 11:00;False;False;False;1043.0;1039.7;1046.0;1039.7;10:50:00;10:50:00;1039.7;1042.0;True;10:30 - 11:00;10:30 - 11:00;0.7;0.4;1.0;-0.1;0.8;0.1;0.6;0.1;1.0;0.1;0.4
2009-10-08;1048.2;1046.4;1047.3;1046.5;False;1.8;1062.7;1043.8;1057.2;13:30:00;12:30:00;True;True;True;False;True;True;False;2009-10-08 10:30:00-04:00;;10:30:00;10:30 - 11:00;True;True;True;1046.5;1046.5;1062.7;1043.8;13:30:00;13:30:00;1062.7;1043.8;True;13:30 - 14:00;13:30 - 14:00;0.4;0.0;9.0;-1.4;6.0;0.1;0.0;-1.4;9.0;9.0;-1.4
2009-10-09;1053.5;1047.0;1051.6;1049.5;False;6.5;1052.8;1044.0;1049.2;10:40:00;10:55:00;False;True;False;True;True;True;True;;2009-10-09 12:05:00-04:00;12:05:00;12:00 - 12:30;False;True;False;1052.8;1048.0;1051.0;1044.0;12:10:00;12:10:00;1044.0;1046.9;False;12:00 - 12:30;12:00 - 12:30;0.7;0.3;0.8;-0.4;0.3;0.2;0.8;-0.4;0.6;-0.4;-0.1
