date;dr_high;dr_low;idr_high;idr_low;dr_open;dr_close;greenbox;session_high;session_low;session_body_high;session_body_low;session_close;session_high_time;session_low_time;breached_dr_high;breached_dr_low;closed_above_dr_high;closed_below_dr_high;dr_confirmed;dr_true_close;dr_true_wick;up_confirmation;down_confirmation;breakout_time;breakout_window;dr_upday;dr_true;close_outside_dr;pre_conf_max;pre_conf_min;after_conf_max;after_conf_min;max_expansion_time;max_retracement_time;max_expansion_value;max_retracement_value;retrace_into_dr;retrace_into_idr;expansion_window;retracement_window;opening_level;closing_level;session_high_level;session_low_level;session_close_level;pre_conf_min_level;pre_conf_max_level;after_conf_min_level;after_conf_max_level;expansion_level;retracement_level
2009-09-28;77.09;76.785;77.075;76.785;76.785;76.935;True;77.315;76.555;77.265;76.565;77.23;14:20:00;14:15:00;True;True;True;True;True;False;False;2009-09-28 13:55:00+09:00;2009-09-28 09:35:00+09:00;09:35:00;09:30 - 10:00;False;False;False;76.995;76.885;77.315;76.555;10:35:00;10:15:00;76.555;76.91;True;True;10:30 - 11:00;10:00 - 10:30;0.0;0.4;1.7;-0.7;1.4;0.4;0.6;-0.7;1.7;-0.7;0.4
2009-09-29;78.605;78.27;78.505;78.27;78.27;78.39;True;78.805;78.31;78.765;78.375;78.7;12:40:00;13:25:00;True;False;True;False;True;True;True;2009-09-29 09:50:00+09:00;;09:50:00;09:30 - 10:00;True;True;True;78.47;78.31;78.805;78.43;12:40:00;10:55:00;78.805;78.43;True;True;12:30 - 13:00;10:30 - 11:00;0.0;0.3;1.5;0.2;1.2;0.2;0.5;0.5;1.5;1.5;0.5
2009-09-30;79.045;78.645;79.025;78.68;78.685;79.025;True;79.07;78.58;79.025;78.66;78.82;09:30:00;09:30:00;True;True;False;False;False;False;False;;;;No breakout;False;True;False;79.025;79.025;78.82;78.82;;;;;False;False;No breakout;No breakout;0.1;0.9;1.0;-0.1;0.4;1.0;0.9;0.5;0.4;;
2009-10-01;79.535;79.365;79.485;79.395;79.485;79.405;False;79.565;79.125;79.545;79.155;79.26;09:50:00;09:40:00;True;True;True;True;True;False;False;2009-10-01 09:45:00+09:00;2009-10-01 10:00:00+09:00;09:45:00;09:30 - 10:00;True;False;False;79.555;79.365;79.565;79.125;09:50:00;09:50:00;79.565;79.41;True;True;09:30 - 10:00;09:30 - 10:00;0.7;0.2;1.1;-1.4;-0.7;0.0;1.1;-1.4;1.1;1.1;0.3
2009-10-02;77.86;77.515;77.86;77.585;77.86;77.705;False;77.96;77.555;77.935;77.585;77.835;11:15:00;11:10:00;True;False;True;False;True;True;True;2009-10-02 10:55:00+09:00;;10:55:00;10:30 - 11:00;True;True;False;77.865;77.555;77.96;77.6;11:15:00;11:05:00;77.96;77.84;True;True;11:00 - 11:30;11:00 - 11:30;1.0;0.5;1.2;0.2;0.9;0.2;1.0;0.3;1.2;1.2;1.0
2009-10-05;78.195;77.65;78.14;77.665;77.74;78.14;True;78.615;78.14;78.565;78.14;78.435;10:10:00;10:10:00;True;False;True;False;True;True;True;2009-10-05 09:30:00+09:00;;09:30:00;09:30 - 10:00;True;True;True;78.14;78.14;78.615;78.2;10:10:00;09:45:00;78.615;78.2;False;False;10:00 - 10:30;09:30 - 10:00;0.1;0.8;1.7;0.9;1.4;0.9;0.8;1.1;1.7;1.7;1.1
2009-10-06;78.645;78.485;78.635;78.49;78.55;78.54;False;79.01;77.98;78.965;77.985;78.92;14:05:00;14:15:00;True;True;True;True;True;False;False;2009-10-06 12:30:00+09:00;2009-10-06 09:30:00+09:00;09:30:00;09:30 - 10:00;False;False;False;78.54;78.54;79.01;77.98;12:25:00;09:35:00;77.98;78.49;True;False;12:00 - 12:30;09:30 - 10:00;0.4;0.3;3.2;-3.1;2.7;0.4;0.3;-3.1;3.2;-3.1;0.0
2009-10-07;79.15;78.94;79.11;78.965;78.99;78.985;False;79.1;78.855;79.05;78.865;78.955;09:35:00;12:40:00;False;True;False;True;True;True;True;;2009-10-07 10:30:00+09:00;10:30:00;10:30 - 11:00;False;True;False;79.1;78.915;79.06;78.855;10:45:00;10:35:00;78.855;78.93;False;False;10:30 - 11:00;10:30 - 11:00;0.2;0.2;0.7;-0.4;0.0;-0.1;0.7;-0.4;0.5;-0.4;-0.1
2009-10-08;79.125;78.99;79.09;79.02;79.04;79.02;False;79.765;79.015;79.735;79.015;79.585;11:15:00;11:15:00;True;False;True;False;True;True;True;2009-10-08 09:30:00+09:00;;09:30:00;09:30 - 10:00;True;True;True;79.02;79.02;79.765;79.4;11:15:00;09:35:00;79.765;79.4;False;False;11:00 - 11:30;09:30 - 10:00;0.3;0.2;5.7;0.2;4.4;0.3;0.2;3.1;5.7;5.7;3.1
2009-10-09;80.285;80.095;80.23;80.14;80.14;80.22;True;80.76;80.18;80.74;80.185;80.585;13:15:00;13:20:00;True;False;True;False;True;True;True;2009-10-09 10:15:00+09:00;;10:15:00;10:00 - 10:30;True;True;True;80.31;80.18;80.76;80.3;13:15:00;10:25:00;80.76;80.3;False;False;13:00 - 13:30;10:00 - 10:30;0.2;0.6;3.5;0.5;2.5;0.5;1.1;1.1;3.5;3.5;1.1
